,slice,cat_feature,feature_value,slice_size,slice_precision,slice_recall,slice_fbeta,slice_accuracy
40,41,occupation, Farming-fishing,994,0.9339622641509434,0.8608695652173913,0.8959276018099547,0.9768611670020121
41,42,occupation, Machine-op-inspct,2002,0.9393939393939394,0.868,0.9022869022869023,0.9765234765234765
42,43,occupation, Tech-support,928,0.9628252788104089,0.9151943462897526,0.9384057971014492,0.9633620689655172
43,44,occupation, ?,1843,0.9265536723163842,0.8586387434554974,0.8913043478260869,0.9782962561041779
44,45,occupation, Protective-serv,649,0.9303482587064676,0.8862559241706162,0.9077669902912622,0.9414483821263482
45,46,occupation, Armed-Forces,9,1.0,1.0,1.0,1.0
46,47,occupation, Priv-house-serv,149,1.0,1.0,1.0,1.0
47,48,relationship, Not-in-family,8305,0.9730458221024259,0.8434579439252337,0.9036295369211514,0.9814569536423841
48,49,relationship, Husband,13193,0.9443593670239918,0.9378168300101386,0.9410767274268758,0.947320548775866
49,50,relationship, Wife,1568,0.9453551912568307,0.9288590604026845,0.937034529451591,0.9406887755102041
50,51,relationship, Own-child,5068,1.0,0.8059701492537313,0.8925619834710743,0.9974348855564326
51,52,relationship, Unmarried,3446,0.9897435897435898,0.8853211009174312,0.9346246973365618,0.9921648287869994
52,53,relationship, Other-relative,981,0.967741935483871,0.8108108108108109,0.8823529411764706,0.9918450560652395
53,54,race, White,27816,0.9479436295657175,0.9262329633272446,0.9369625470826521,0.9681118780557952
54,55,race, Black,3124,0.9644808743169399,0.9121447028423773,0.9375830013280213,0.984955185659411
55,56,race, Asian-Pac-Islander,1039,0.95,0.894927536231884,0.9216417910447762,0.9595765158806545
56,57,race, Amer-Indian-Eskimo,311,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9807073954983923
57,58,race, Other,271,1.0,0.68,0.8095238095238095,0.9704797047970479
58,59,sex, Male,21790,0.9475620975160993,0.9276493545481838,0.9374999999999999,0.9621844882973841
59,60,sex, Female,10771,0.9567177637511272,0.8999151823579304,0.9274475524475524,0.9845882462166929
60,61,native-country, United-States,29170,0.9491840824506155,0.9246966950216149,0.9367803913258459,0.9693177922523141
61,62,native-country, Cuba,95,1.0,1.0,1.0,1.0
62,63,native-country, Jamaica,81,1.0,0.8,0.888888888888889,0.9753086419753086
63,64,native-country, India,100,0.972972972972973,0.9,0.935064935064935,0.95
64,65,native-country, ?,583,0.8940397350993378,0.9246575342465754,0.9090909090909091,0.9536878216123499
65,66,native-country, Mexico,643,0.9666666666666667,0.8787878787878788,0.9206349206349207,0.9922239502332815
66,67,native-country, South,80,0.9375,0.9375,0.9375,0.975
67,68,native-country, Puerto-Rico,114,0.9230769230769231,1.0,0.9600000000000001,0.9912280701754386
68,69,native-country, Honduras,13,1.0,1.0,1.0,1.0
69,70,native-country, England,90,1.0,0.9,0.9473684210526316,0.9666666666666667
70,71,native-country, Canada,121,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.9338842975206612
71,72,native-country, Germany,137,1.0,0.9772727272727273,0.9885057471264368,0.9927007299270073
72,73,native-country, Iran,43,0.9473684210526315,1.0,0.972972972972973,0.9767441860465116
73,74,native-country, Philippines,198,0.9152542372881356,0.8852459016393442,0.9,0.9393939393939394
74,75,native-country, Italy,73,1.0,0.96,0.9795918367346939,0.9863013698630136
75,76,native-country, Poland,60,1.0,0.8333333333333334,0.9090909090909091,0.9666666666666667
76,77,native-country, Columbia,59,1.0,1.0,1.0,1.0
77,78,native-country, Cambodia,19,1.0,0.8571428571428571,0.923076923076923,0.9473684210526315
78,79,native-country, Thailand,18,1.0,0.6666666666666666,0.8,0.9444444444444444
79,80,native-country, Ecuador,28,1.0,0.75,0.8571428571428571,0.9642857142857143
80,81,native-country, Laos,18,1.0,1.0,1.0,1.0
81,82,native-country, Taiwan,51,1.0,1.0,1.0,1.0
82,83,native-country, Haiti,44,1.0,0.75,0.8571428571428571,0.9772727272727273
83,84,native-country, Portugal,37,1.0,1.0,1.0,1.0
84,85,native-country, Dominican-Republic,70,1.0,1.0,1.0,1.0
85,86,native-country, El-Salvador,106,1.0,0.8888888888888888,0.9411764705882353,0.9905660377358491
86,87,native-country, France,29,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9310344827586207
87,88,native-country, Guatemala,64,1.0,0.6666666666666666,0.8,0.984375
88,89,native-country, China,75,1.0,0.8,0.888888888888889,0.9466666666666667
89,90,native-country, Japan,62,0.9523809523809523,0.8333333333333334,0.888888888888889,0.9193548387096774
90,91,native-country, Yugoslavia,16,1.0,0.6666666666666666,0.8,0.875
91,92,native-country, Peru,31,1.0,1.0,1.0,1.0
92,93,native-country, Outlying-US(Guam-USVI-etc),14,1.0,1.0,1.0,1.0
93,94,native-country, Scotland,12,1.0,1.0,1.0,1.0
94,95,native-country, Trinadad&Tobago,19,1.0,1.0,1.0,1.0
95,96,native-country, Greece,29,0.7272727272727273,1.0,0.8421052631578948,0.896551724137931
96,97,native-country, Nicaragua,34,1.0,1.0,1.0,1.0
97,98,native-country, Vietnam,67,1.0,0.8,0.888888888888889,0.9850746268656716
98,99,native-country, Hong,20,1.0,0.6666666666666666,0.8,0.9
99,100,native-country, Ireland,24,1.0,1.0,1.0,1.0
100,101,native-country, Hungary,13,1.0,1.0,1.0,1.0
101,102,native-country, Holand-Netherlands,1,1.0,1.0,1.0,1.0
